"BOX","MONTH","DEPTH_BIN","min_val","max_val","n","sd","min_depth","max_depth","variable"
6,"08",4,0,1.989,300,0.349892889662456,100,5000,"Ammonia"
6,"09",1,0,23.9,245,2.37717338119786,0,10,"Ammonia"
6,"09",2,0,20.17,438,1.44903967310203,10,30,"Ammonia"
6,"09",3,0,5.33,914,0.871835591411714,30,100,"Ammonia"
6,"09",4,0,1.621,248,0.279999305693975,100,5000,"Ammonia"
6,"10",1,0,1.146,182,0.278191490161958,0,10,"Ammonia"
6,"10",2,0,1.67,302,0.31505482363236,10,30,"Ammonia"
6,"10",3,0,4.324,640,0.570924088395721,30,100,"Ammonia"
6,"10",4,0,0.8565,181,0.199047788558781,100,5000,"Ammonia"
6,"11",1,0.13,1.1,30,0.320861736614057,0,10,"Ammonia"
6,"11",2,0.03,0.78,25,0.238696753224672,10,30,"Ammonia"
6,"11",3,0,0.53,34,0.179484737358756,30,100,"Ammonia"
6,"11",4,0,0.43,16,0.132809387218424,100,5000,"Ammonia"
6,"12",1,0.203,1.771,50,0.47699950626766,0,10,"Ammonia"
6,"12",2,0.217,1.597,66,0.396381424051801,10,30,"Ammonia"
6,"12",3,0.126,1.55,152,0.378362658642751,30,100,"Ammonia"
6,"12",4,0.063,0.863,43,0.138606672003225,100,5000,"Ammonia"
7,"02",1,0.52,0.758,2,0.168291413922398,0,10,"Ammonia"
7,"02",3,0.573,0.573,1,NA,30,100,"Ammonia"
7,"02",4,0.408,0.408,1,NA,100,5000,"Ammonia"
7,"03",1,0.064,0.724,9,0.271730462856936,0,10,"Ammonia"
7,"03",2,0.055,0.143,14,0.0292921059763116,10,30,"Ammonia"
7,"03",3,0.017,0.955,42,0.300433350388321,30,100,"Ammonia"
7,"03",4,0.008,0.33,43,0.0668481693157246,100,5000,"Ammonia"
7,"04",1,0,1.624,213,0.349454408476282,0,10,"Ammonia"
7,"04",2,0,9.629,313,0.697126902439857,10,30,"Ammonia"
7,"04",3,0,2.947,793,0.534584924397987,30,100,"Ammonia"
7,"04",4,0,2.138,1122,0.32565147962624,100,5000,"Ammonia"
7,"05",1,0,1.18,100,0.258027052845239,0,10,"Ammonia"
7,"05",2,0,0.82,108,0.230041244354923,10,30,"Ammonia"
7,"05",3,0,2.8405,253,0.493341792520287,30,100,"Ammonia"
7,"05",4,0,2.094,1374,0.240667098751338,100,5000,"Ammonia"
7,"06",1,0.006,1.055,12,0.376410438460224,0,10,"Ammonia"
7,"06",2,0.103,1.40845,12,0.55337765737224,10,30,"Ammonia"
7,"06",3,0.006,1.07259,16,0.422560184419036,30,100,"Ammonia"
7,"06",4,0.006,12.31,165,2.11865293130662,100,5000,"Ammonia"
7,"07",1,0,0.84258,34,0.26218447908978,0,10,"Ammonia"
7,"07",2,0,4.728,31,1.15637918772626,10,30,"Ammonia"
